,imdb_rank,Title,Year,Countries,Budget,Cumulative Worldwide Gross,Opening Weekend United States,Rating
0942385,75,Tropic Thunder,2008.0,"United States,United Kingdom,Germany","$92,000,000 (estimated)","$188,072,649","$25,812,796, 17 Aug 2008",7.0
1250777,76,Kick-Ass,2010.0,"United Kingdom,United States","$30,000,000 (estimated)","$96,188,903",,7.6
0112442,77,Bad Boys,1995.0,United States,"$19,000,000 (estimated)","$141,407,024","$15,523,358, 09 Apr 1995",6.9
1723121,78,We're the Millers,2013.0,"United States,United Kingdom","$37,000,000 (estimated)","$269,994,119","$26,419,396, 11 Aug 2013",7.0
1981677,79,Pitch Perfect,2012.0,United States,"$17,000,000 (estimated)","$113,042,075","$5,149,433, 30 Sep 2012",7.2
6412452,80,The Ballad of Buster Scruggs,2018.0,United States,,,,7.3
0087363,81,Gremlins,1984.0,United States,"$11,000,000 (estimated)",,"$12,511,000, 10 Jun 1984",7.3
6911608,82,Mamma Mia! Here We Go Again,2018.0,"United Kingdom,United States,Japan","$70,000,000 (estimated)","$395,044,706",,6.7
0117008,83,Matilda,1996.0,United States,"$36,000,000 (estimated)",,"$8,209,000, 04 Aug 1996",6.9
1001508,84,He's Just Not That Into You,2009.0,"Germany,United States","$40,000,000 (estimated)","$178,846,899",,6.4
4225622,85,The Babysitter,2017.0,United States,,,,6.3
0112697,86,Clueless,1995.0,United States,"$12,000,000 (estimated)","$20,700,000","$10,612,443, 23 Jul 1995",6.8
5164214,87,Ocean's Eight,2018.0,United States,"$70,000,000 (estimated)","$297,718,711","$41,607,378, 10 Jun 2018",6.2
1959563,88,The Hitman's Bodyguard,2017.0,"United States,Hong Kong,Bulgaria,Netherlands","$30,000,000 (estimated)","$176,586,701","$21,384,504, 20 Aug 2017",6.9
0088847,89,The Breakfast Club,1985.0,United States,"$1,000,000 (estimated)","$51,525,171","$5,107,599, 18 Feb 1985",7.9
0261392,90,Jay and Silent Bob Strike Back,2001.0,United States,"$22,000,000 (estimated)",,"$11,018,543, 26 Aug 2001",6.8
0458352,91,The Devil Wears Prada,2006.0,"United States,France","$35,000,000 (estimated)","$326,551,094","$27,537,244, 02 Jul 2006",6.9
0274812,92,Secretary,2002.0,United States,"$4,000,000 (estimated)","$9,304,609","$182,306, 22 Sep 2002",7.0
0114681,93,To Die For,1995.0,"United States,United Kingdom,Canada","$20,000,000 (estimated)",,,6.8
0077975,94,National Lampoon's Animal House,1978.0,United States,"$3,000,000 (estimated)","$3,371,006","$201,747, 23 Sep 1979",7.5
0061722,95,The Graduate,1967.0,United States,"$3,000,000 (estimated)","$114,945,305","$873, 18 May 2012",8.0
0208092,96,Snatch,2000.0,"United Kingdom,United States","GBP6,000,000 (estimated)","$83,557,872",,8.3
0109813,97,The Flintstones,1994.0,United States,"$46,000,000 (estimated)","$228,000,000",,4.9
2005151,98,War Dogs,2016.0,"United States,Cambodia","$40,000,000 (estimated)",,"$14,685,305, 19 Aug 2016",7.1
0139699,99,Varsity Blues,1999.0,United States,"$16,000,000 (estimated)",,"$17,515,723, 17 Jan 1999",6.5
0119654,100,Men in Black,1997.0,United States,"$90,000,000 (estimated)","$589,390,539","$51,068,455, 06 Jul 1997",7.3
